Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,WMA
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.099192,469033600,,,
1980-12-15,0.12221,0.12221,0.121652,0.121652,0.094017,175884800,,,
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.087117,105728000,,,
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.089273,86441600,,,
1980-12-18,0.118862,0.11942,0.118862,0.118862,0.091861,73449600,,,
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.097467,48630400,,,
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.102211,37363200,,,
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.106524,46950400,,,
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.11213,48003200,,,
1980-12-26,0.158482,0.15904,0.158482,0.158482,0.122481,55574400,,,
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.124206,93161600,,,
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.121187,68880000,,,
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.117737,35750400,,,
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.119031,21660800,,,0.13719699999999999
1981-01-05,0.151228,0.151228,0.15067,0.15067,0.116443,35728000,,,0.1387914285714286
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.111268,45158400,,,0.1403857857142857
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.106524,55686400,,,0.14217950000000001
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.104368,39827200,,,0.14357464285714286
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.109974,21504000,,,0.14524871428571431
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.109112,23699200,,,0.14632492857142856
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.10523,23049600,,,0.14660399999999998
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.105662,14291200,,,0.14652428571428572
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.107818,14067200,,,0.14612571428571428
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.106955,13395200,,,0.1446907857142857
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.113424,41574400,,,0.14369428571428572
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.109974,30083200,,,0.1426579285714286
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.11213,15904000,,,0.14213971428571429
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.113424,35548800,,,0.1416215
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.112993,11222400,,,0.14130257142857142
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.111268,24640000,,,0.14130257142857144
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.110405,23699200,,,0.1416612857142857
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.106955,28156800,,,0.14190042857142857
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.103074,43904000,,,0.1412627142857143
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.097467,46188800,,,0.14018650000000002
1981-02-02,0.11942,0.11942,0.118862,0.118862,0.091861,23766400,,,0.13895085714285715
1981-02-03,0.123326,0.123884,0.123326,0.123326,0.095311,19152000,,,0.1379942142857143
1981-02-04,0.12779,0.128348,0.12779,0.12779,0.098761,27865600,,,0.13715714285714284
1981-02-05,0.12779,0.128906,0.12779,0.12779,0.098761,7929600,,,0.1363997857142857
1981-02-06,0.128348,0.128906,0.128348,0.128348,0.099192,13865600,,,0.13508442857142858
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.094017,16755200,,,0.13360964285714286
1981-02-10,0.121652,0.12221,0.121652,0.121652,0.094017,18345600,,,0.13193557142857143
1981-02-11,0.118304,0.118304,0.117746,0.117746,0.090998,13843200,,,0.1298629285714286
1981-02-12,0.117188,0.117188,0.116629,0.116629,0.090135,14560000,,,0.12775035714285715
1981-02-13,0.114955,0.114955,0.113839,0.113839,0.087979,11155200,,,0.12559792857142857
1981-02-17,0.116629,0.117188,0.116629,0.116629,0.090135,12275200,,,0.1237245
1981-02-18,0.121652,0.122768,0.121652,0.121652,0.094017,19241600,,,0.12252871428571428
1981-02-19,0.114955,0.114955,0.114397,0.114397,0.08841,22310400,,,0.12117342857142857
